310519 0046   0.000  68.404  12.827   0.000  29.809   0.000  39.222   4.210   3.504   0.000   0.000   4.192   0.989   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 061 0 022 0 0 0 000 000 000 000 
310519 0047   0.000  68.404  12.771   0.000  29.781   0.000  39.222   4.212   3.494   0.000   0.000   4.190   0.989   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 061 0 022 0 0 0 000 000 000 000 
310519 0048   0.000  68.404  12.831   0.000  30.027   0.000  39.222   4.210   3.494   0.000   0.000   4.190   0.989   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 061 0 022 0 0 0 000 000 000 000 
310519 0049   0.000  68.404  12.841   0.000  29.645   0.000  39.222   4.212   3.494   0.000   0.000   4.200   0.984   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 061 0 022 0 0 0 000 000 000 000 
310519 0050   0.000  68.404  12.864   0.000  29.631   0.000  39.222   4.210   3.504   0.000   0.000   4.187   0.984   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 061 0 022 0 0 0 000 000 000 000 
310519 0051   0.000  68.404  12.919   0.000  30.013   0.000  39.222   4.210   3.504   0.000   0.000   4.205   0.984   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 061 0 022 0 0 0 000 000 000 000 
310519 0052   0.000  68.404  12.845   0.000  29.849   0.000  39.222   4.210   3.504   0.000   0.000   4.187   0.984   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 061 0 022 0 0 0 000 000 000 000 
310519 0053   0.000  68.404  12.919   0.000  30.190   0.000  39.222   4.210   3.494   0.000   0.000   4.215   0.984   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 061 0 022 0 0 0 000 000 000 000 
310519 0054   0.000  68.404  13.045   0.000  30.940   0.000  39.222   4.210   3.504   0.000   0.000   4.195   0.980   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 061 0 022 0 0 0 000 000 000 000 
310519 0055   0.000  68.404  13.031   0.000  31.349   0.000  39.222   4.210   3.494   0.000   0.000   4.225   0.980   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 061 0 022 0 0 0 000 000 000 000 
310519 0056   0.000  68.404  13.036   0.000  31.185   0.000  39.222   4.210   3.504   0.000   0.000   4.192   0.980   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 062 0 022 0 0 0 000 000 000 000 
310519 0057   0.000  68.404  12.915   0.000  31.049   0.000  39.222   4.210   3.504   0.000   0.000   4.230   0.980   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 062 0 022 0 0 0 000 000 000 000 
310519 0058   0.000  68.404  12.910   0.000  30.885   0.000  39.222   4.210   3.494   0.000   0.000   4.190   0.975   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 062 0 022 0 0 0 000 000 000 000 
310519 0059   0.000  68.404  12.910   0.000  30.722   0.000  39.222   4.210   3.504   0.000   0.000   4.232   0.975   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 062 0 022 0 0 0 000 000 000 000 
310519 0100   0.000  68.404  12.896   0.000  30.558   0.000  39.222   4.210   3.494   0.000   0.000   4.187   0.975   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 062 0 022 0 0 0 000 000 000 000 
